,country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
14902,Afghanistan,Aviation gasoline - Final consumption,1992,"Metric tons,  thousand",0.0,,aviation_gasoline
14903,Afghanistan,Aviation gasoline - Final consumption,1991,"Metric tons,  thousand",3.0,1.0,aviation_gasoline
14904,Afghanistan,Aviation gasoline - Final consumption,1990,"Metric tons,  thousand",3.0,1.0,aviation_gasoline
14905,Antigua and Barbuda,Aviation gasoline - Final consumption,2014,"Metric tons,  thousand",1.3,1.0,aviation_gasoline
14906,Antigua and Barbuda,Aviation gasoline - Final consumption,2013,"Metric tons,  thousand",1.2,1.0,aviation_gasoline
14907,Antigua and Barbuda,Aviation gasoline - Final consumption,2012,"Metric tons,  thousand",1.2,1.0,aviation_gasoline
14908,Antigua and Barbuda,Aviation gasoline - Final consumption,2011,"Metric tons,  thousand",1.3,1.0,aviation_gasoline
14909,Antigua and Barbuda,Aviation gasoline - Final consumption,2010,"Metric tons,  thousand",1.5,1.0,aviation_gasoline
14910,Antigua and Barbuda,Aviation gasoline - Final consumption,2009,"Metric tons,  thousand",1.8,1.0,aviation_gasoline
14911,Antigua and Barbuda,Aviation gasoline - Final consumption,2008,"Metric tons,  thousand",1.8,1.0,aviation_gasoline
14912,Antigua and Barbuda,Aviation gasoline - Final consumption,2007,"Metric tons,  thousand",2.0,1.0,aviation_gasoline
14913,Antigua and Barbuda,Aviation gasoline - Final consumption,2006,"Metric tons,  thousand",2.0,1.0,aviation_gasoline
14914,Antigua and Barbuda,Aviation gasoline - Final consumption,2005,"Metric tons,  thousand",2.0,1.0,aviation_gasoline
14915,Antigua and Barbuda,Aviation gasoline - Final consumption,2004,"Metric tons,  thousand",2.0,1.0,aviation_gasoline
14916,Antigua and Barbuda,Aviation gasoline - Final consumption,2003,"Metric tons,  thousand",2.0,1.0,aviation_gasoline
14917,Antigua and Barbuda,Aviation gasoline - Final consumption,2002,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14918,Antigua and Barbuda,Aviation gasoline - Final consumption,2001,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14919,Antigua and Barbuda,Aviation gasoline - Final consumption,2000,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14920,Antigua and Barbuda,Aviation gasoline - Final consumption,1999,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14921,Antigua and Barbuda,Aviation gasoline - Final consumption,1998,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14922,Antigua and Barbuda,Aviation gasoline - Final consumption,1997,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14923,Antigua and Barbuda,Aviation gasoline - Final consumption,1996,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14924,Antigua and Barbuda,Aviation gasoline - Final consumption,1995,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14925,Antigua and Barbuda,Aviation gasoline - Final consumption,1994,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14926,Antigua and Barbuda,Aviation gasoline - Final consumption,1993,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14927,Antigua and Barbuda,Aviation gasoline - Final consumption,1992,"Metric tons,  thousand",1.0,,aviation_gasoline
14928,Antigua and Barbuda,Aviation gasoline - Final consumption,1991,"Metric tons,  thousand",1.0,,aviation_gasoline
14929,Antigua and Barbuda,Aviation gasoline - Final consumption,1990,"Metric tons,  thousand",1.0,,aviation_gasoline
14930,Argentina,Aviation gasoline - Final consumption,2014,"Metric tons,  thousand",8.0,,aviation_gasoline
14931,Argentina,Aviation gasoline - Final consumption,2013,"Metric tons,  thousand",8.0,,aviation_gasoline
14932,Argentina,Aviation gasoline - Final consumption,2012,"Metric tons,  thousand",7.0,,aviation_gasoline
14933,Argentina,Aviation gasoline - Final consumption,2011,"Metric tons,  thousand",8.0,,aviation_gasoline
14934,Argentina,Aviation gasoline - Final consumption,2010,"Metric tons,  thousand",10.0,,aviation_gasoline
14935,Argentina,Aviation gasoline - Final consumption,2009,"Metric tons,  thousand",8.0,,aviation_gasoline
14936,Argentina,Aviation gasoline - Final consumption,2008,"Metric tons,  thousand",7.0,,aviation_gasoline
14937,Argentina,Aviation gasoline - Final consumption,2007,"Metric tons,  thousand",5.0,,aviation_gasoline
14938,Argentina,Aviation gasoline - Final consumption,2006,"Metric tons,  thousand",5.0,,aviation_gasoline
14939,Argentina,Aviation gasoline - Final consumption,2005,"Metric tons,  thousand",13.0,,aviation_gasoline
14940,Argentina,Aviation gasoline - Final consumption,2004,"Metric tons,  thousand",11.0,,aviation_gasoline
14941,Argentina,Aviation gasoline - Final consumption,2003,"Metric tons,  thousand",7.0,,aviation_gasoline
14942,Argentina,Aviation gasoline - Final consumption,2002,"Metric tons,  thousand",8.0,,aviation_gasoline
14943,Argentina,Aviation gasoline - Final consumption,2001,"Metric tons,  thousand",6.0,,aviation_gasoline
14944,Argentina,Aviation gasoline - Final consumption,2000,"Metric tons,  thousand",14.0,,aviation_gasoline
14945,Argentina,Aviation gasoline - Final consumption,1999,"Metric tons,  thousand",15.0,,aviation_gasoline
14946,Argentina,Aviation gasoline - Final consumption,1998,"Metric tons,  thousand",10.0,,aviation_gasoline
14947,Argentina,Aviation gasoline - Final consumption,1997,"Metric tons,  thousand",14.0,,aviation_gasoline
14948,Argentina,Aviation gasoline - Final consumption,1996,"Metric tons,  thousand",11.0,,aviation_gasoline
14949,Argentina,Aviation gasoline - Final consumption,1995,"Metric tons,  thousand",7.0,1.0,aviation_gasoline
14950,Argentina,Aviation gasoline - Final consumption,1994,"Metric tons,  thousand",11.0,,aviation_gasoline
14951,Argentina,Aviation gasoline - Final consumption,1993,"Metric tons,  thousand",5.0,,aviation_gasoline
14952,Argentina,Aviation gasoline - Final consumption,1991,"Metric tons,  thousand",16.0,,aviation_gasoline
14953,Argentina,Aviation gasoline - Final consumption,1990,"Metric tons,  thousand",15.0,,aviation_gasoline
14954,Australia,Aviation gasoline - Final consumption,2014,"Metric tons,  thousand",51.0,,aviation_gasoline
14955,Australia,Aviation gasoline - Final consumption,2013,"Metric tons,  thousand",57.0,,aviation_gasoline
14956,Australia,Aviation gasoline - Final consumption,2012,"Metric tons,  thousand",60.0,,aviation_gasoline
14957,Australia,Aviation gasoline - Final consumption,2011,"Metric tons,  thousand",56.0,,aviation_gasoline
14958,Australia,Aviation gasoline - Final consumption,2010,"Metric tons,  thousand",56.0,,aviation_gasoline
14959,Australia,Aviation gasoline - Final consumption,2009,"Metric tons,  thousand",68.0,,aviation_gasoline
14960,Australia,Aviation gasoline - Final consumption,2008,"Metric tons,  thousand",62.0,,aviation_gasoline
14961,Australia,Aviation gasoline - Final consumption,2007,"Metric tons,  thousand",63.0,,aviation_gasoline
14962,Australia,Aviation gasoline - Final consumption,2006,"Metric tons,  thousand",83.0,,aviation_gasoline
14963,Australia,Aviation gasoline - Final consumption,2005,"Metric tons,  thousand",64.0,,aviation_gasoline
14964,Australia,Aviation gasoline - Final consumption,2004,"Metric tons,  thousand",67.0,,aviation_gasoline
14965,Australia,Aviation gasoline - Final consumption,2003,"Metric tons,  thousand",67.0,,aviation_gasoline
14966,Australia,Aviation gasoline - Final consumption,2002,"Metric tons,  thousand",44.0,,aviation_gasoline
14967,Australia,Aviation gasoline - Final consumption,2001,"Metric tons,  thousand",77.0,,aviation_gasoline
14968,Australia,Aviation gasoline - Final consumption,2000,"Metric tons,  thousand",72.0,,aviation_gasoline
14969,Australia,Aviation gasoline - Final consumption,1999,"Metric tons,  thousand",73.0,,aviation_gasoline
14970,Australia,Aviation gasoline - Final consumption,1998,"Metric tons,  thousand",72.0,,aviation_gasoline
14971,Australia,Aviation gasoline - Final consumption,1997,"Metric tons,  thousand",71.0,,aviation_gasoline
